ID,title,text,label,X1,X2
2,Thorough hand-washing with an ordinary soap is effective in killing coronavirus (COVID-19),"Soap and water alone, when used as per the WHO handwashing guidelines, are effective and easy for killing coronavirus. ",REAL,,
3,Places most affected by coronavirus situated on latitude 40°,Places most affected by coronavirus situated on latitude 40°,FAKE,,
4,More immunity in Indian genes,Our bodies have one of the toughest immune systems in the world. We have grown up surrounded by so much filth and pollution that our natural resilience is much stronger than people in the developed world.,FAKE,,
5,Vitamin C and lemon-infused hot water protect against coronavirus or cancer,"The novel coronavirus is the result of a gene fusion between a snake and a bat.Both the HIV virus and the coronavirus spread by direct contact and people should avoid touching the infected.Using a large amount of Vitamin C gets rid of the novel coronavirus.Hot lemon can cure all cancers. The acids and carboxylic acids contained in lemon juice can regulate high blood pressure, protect narrow arteries, regulate blood circulation and reduce blood clotting.There is currently no vaccine and treatment for the novel coronavirus.",FAKE,,
6,Medicine will be sprayed in the air to kill coronavirus,Hello i kindly request you not to come out of your house after 10 pm tonight till tomorrow 5 am…As their will be spraying medicine in the air in order to kill the COVID-19!!,FAKE,,
7,Lifespan of coronavirus outside the human body on different surfaces,"1. If the coronavirus falls on a metal surface, it lives for 12 hours.2. If the coronavirus falls on fabric, it survives for 9 hours.3. The coronavirus lives on the hands for 10 minutes.",FAKE,,
8,Social distancing is imperative but 14-hour ‘Janta curfew’ will not break the cycle of infection,"an individual infected with coronavirus can pass on the infection to another person for upto 14 days. Also, the coronavirus could be detected up to 2-3 days on plastic and stainless steel surfaces. The results from this study indicate that the coronavirus can be transmitted through aerosols (clusters of the virus in the air) aerosol and fomites (objects such as plastic, steel, other metals contaminated with the virus) are plausible, as the virus can remain viable in aerosols for multiple hours and on surfaces up to days. Hence, a 14 hour self-imposed curfew cannot break the cycle of infection as it is being claimed on social media. Despite the fact that the curfew will not break the cycle of infection as the Coronavirus still persists 2-3 days later on surfaces, the social lockdown is an effective strategy for reducing new infections that ‘flattens the curve’",REAL,,
9,Putin has  left 800 lions on Russian streets to ensure lockdown during COVID-19 pandemic,Vladimir Putin has given Russians two options.You stay at home for 2 weeks or you go to jail for 5years.No middle ground.RUSSIA: Vladimir Putin has Dropped 800 tigers and Lions all over the Country to push people to stay Home.. Stay Safe Everyone!!,FAKE,,
10,Vaccine For Corona Virus Ready.,"Great news! Carona virus vaccine ready. Able to cure patient within 3 hours after injection. Hats off to US Scientists. Right now Trump announced that Roche Medical Company will launch the vaccine next Sunday, and millions of doses are ready from it",FAKE,,
11,Dr Ramesh Gupta’s zoology book mention a cure for novel coronavirus,WHO you have not gone through the book of 12th standard written by Dr Ramesh Chand Gupta where he has mentioned about coronavirus so this is not a recent disease and he mentioned the cure too.,FAKE,,
12,Ooty-Coimbatore road is reclaimed by its original owners.,Deers  turn up on Ooty-Coimbatore road as COVID-19 lockdown restricts human activity,FAKE,,
